ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),ID,A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2)
76383, [t|h],950656.0,1521024.0,870656.0,3342336.0,2391680.0,1821312.0,76383, [i|n],960768.0,160128.0,1671168.0,2792064.0,1831296.0,2631936.0
76383, [t|h],210048.0,540032.0,650112.0,1400192.0,1190144.0,860160.0,76383, [i|n],620032.0,210048.0,830080.0,1660160.0,1040128.0,1450112.0
76383, [t|h],156032.0,548096.0,1063936.0,1768064.0,1612032.0,1219968.0,76383, [i|n],630016.0,461952.0,612096.0,1704064.0,1074048.0,1242112.0
76383, [t|h],1120640.0,470272.0,9984.0,1600896.0,480256.0,1130624.0,76383, [i|n],640512.0,1280896.0,720512.0,2641920.0,2001408.0,1361024.0
76383, [t|h],1043200.0,865152.0,156160.0,2064512.0,1021312.0,1199360.0,76383, [i|n],759936.0,530048.0,682112.0,1972096.0,1212160.0,1442048.0
76383, [t|h],1289984.0,320000.0,8740096.0,10350080.0,9060096.0,10030080.0,76383, [i|n],720512.0,720512.0,880512.0,2321536.0,1601024.0,1601024.0
76383, [t|h],560512.0,800128.0,400640.0,1761280.0,1200768.0,961152.0,76383, [i|n],1125760.0,377216.0,1357824.0,2860800.0,1735040.0,2483584.0
76383, [t|h],1041152.0,881536.0,316288.0,2238976.0,1197824.0,1357440.0,76383, [i|n],440064.0,660096.0,1580032.0,2680192.0,2240128.0,2020096.0
76383, [t|h],800512.0,880640.0,1040768.0,2721920.0,1921408.0,1841280.0,76383, [i|n],702080.0,392064.0,701952.0,1796096.0,1094016.0,1404032.0
76383, [t|h],1630080.0,980096.0,300032.0,2910208.0,1280128.0,1930112.0,76383, [i|n],640384.0,880640.0,1040768.0,2561792.0,1921408.0,1681152.0
76383, [t|h],1280896.0,950656.0,9984.0,2241536.0,960640.0,1290880.0,76383, [i|n],1113600.0,210944.0,1635968.0,2960512.0,1846912.0,2749568.0
76383, [t|h],155904.0,156032.0,1000064.0,1312000.0,1156096.0,1155968.0,76383, [i|n],369536.0,793984.0,1334400.0,2497920.0,2128384.0,1703936.0
76383, [t|h],800000.0,800128.0,320000.0,1920128.0,1120128.0,1120000.0,76383, [i|n],560384.0,720512.0,800640.0,2081536.0,1521152.0,1361024.0
76383, [t|h],1281280.0,3200512.0,4236672.0,8718464.0,7437184.0,5517952.0,76383, [i|n],230016.0,1000064.0,969984.0,2200064.0,1970048.0,1200000.0
76383, [t|h],1199360.0,1125504.0,781312.0,3106176.0,1906816.0,1980672.0,76383, [i|n],630528.0,800640.0,1040640.0,2471808.0,1841280.0,1671168.0
76383, [t|h],721664.0,801280.0,233088.0,1756032.0,1034368.0,954752.0,76383, [i|n],550016.0,470016.0,510080.0,1530112.0,980096.0,1060096.0
76383, [t|h],1301376.0,780928.0,468864.0,2551168.0,1249792.0,1770240.0,76383, [i|n],640512.0,560384.0,10647552.0,11848448.0,11207936.0,11288064.0
76383, [t|h],936064.0,779904.0,2048000.0,3763968.0,2827904.0,2984064.0,76383, [i|n],1366016.0,156032.0,2712064.0,4234112.0,2868096.0,4078080.0
76383, [t|h],976384.0,1400064.0,1405696.0,3782144.0,2805760.0,2382080.0,76383, [i|n],720512.0,720512.0,1040768.0,2481792.0,1761280.0,1761280.0
76383, [t|h],30080.0,660096.0,1049984.0,1740160.0,1710080.0,1080064.0,76383, [i|n],1400064.0,150016.0,4702080.0,6252160.0,4852096.0,6102144.0
76383, [t|h],857984.0,840064.0,1866112.0,3564160.0,2706176.0,2724096.0,76383, [i|n],312064.0,935936.0,467968.0,1715968.0,1403904.0,780032.0
76383, [t|h],720512.0,720896.0,160128.0,1601536.0,881024.0,880640.0,76383, [i|n],312064.0,370048.0,1389952.0,2072064.0,1760000.0,1702016.0
76383, [t|h],339968.0,470016.0,420096.0,1230080.0,890112.0,760064.0,76383, [i|n],311936.0,935936.0,936064.0,2183936.0,1872000.0,1248000.0
76383, [t|h],960640.0,960640.0,160128.0,2081408.0,1120768.0,1120768.0,76383, [i|n],1240064.0,1384064.0,300032.0,2924160.0,1684096.0,1540096.0
76383, [t|h],678016.0,528000.0,322048.0,1528064.0,850048.0,1000064.0,76383, [i|n],1550080.0,1920000.0,1640064.0,5110144.0,3560064.0,3190144.0
76383, [t|h],312064.0,864000.0,636032.0,1812096.0,1500032.0,948096.0,76383, [i|n],720512.0,960640.0,720512.0,2401664.0,1681152.0,1441024.0
76383, [t|h],1520000.0,959104.0,240000.0,2719104.0,1199104.0,1760000.0,76383, [i|n],209920.0,722048.0,570112.0,1502080.0,1292160.0,780032.0
76383, [t|h],330112.0,209920.0,770048.0,1310080.0,979968.0,1100160.0,76383, [i|n],69888.0,510080.0,1370112.0,1950080.0,1880192.0,1440000.0
76383, [t|h],1679872.0,1190784.0,885120.0,3755776.0,2075904.0,2564992.0,76383, [i|n],540032.0,390016.0,1180032.0,2110080.0,1570048.0,1720064.0
76383, [t|h],959232.0,1042944.0,633216.0,2635392.0,1676160.0,1592448.0,76383, [i|n],240128.0,160000.0,960768.0,1360896.0,1120768.0,1200896.0
76383, [t|h],189952.0,620032.0,170112.0,980096.0,790144.0,360064.0,76383, [i|n],478080.0,567936.0,1218048.0,2264064.0,1785984.0,1696128.0
76383, [t|h],1203072.0,1437824.0,160640.0,2801536.0,1598464.0,1363712.0,76383, [i|n],560384.0,640512.0,1200768.0,2401664.0,1841280.0,1761152.0
76383, [t|h],1200768.0,640000.0,1601664.0,3442432.0,2241664.0,2802432.0,76383, [i|n],1248000.0,624000.0,3120000.0,4992000.0,3744000.0,4368000.0
76383, [t|h],1200512.0,1021312.0,9984.0,2231808.0,1031296.0,1210496.0,76383, [i|n],560384.0,1200768.0,1040768.0,2801920.0,2241536.0,1601152.0
76383, [t|h],1406208.0,1562368.0,312576.0,3281152.0,1874944.0,1718784.0,76383, [i|n],924032.0,998016.0,1443968.0,3366016.0,2441984.0,2368000.0
76383, [t|h],1090048.0,770048.0,2390144.0,4250240.0,3160192.0,3480192.0,76383, [i|n],692096.0,547968.0,1672064.0,2912128.0,2220032.0,2364160.0
76383, [t|h],1120768.0,790528.0,10112.0,1921408.0,800640.0,1130880.0,76383, [i|n],630528.0,640384.0,960640.0,2231552.0,1601024.0,1591168.0
76383, [t|h],890624.0,620416.0,9984.0,1521024.0,630400.0,900608.0,76383, [i|n],540032.0,210048.0,1170048.0,1920128.0,1380096.0,1710080.0
76383, [t|h],1294976.0,1367808.0,781184.0,3443968.0,2148992.0,2076160.0,76383, [i|n],966016.0,1232128.0,2476032.0,4674176.0,3708160.0,3442048.0
76383, [t|h],1092096.0,779904.0,4368000.0,6240000.0,5147904.0,5460096.0,76383, [i|n],439936.0,870144.0,300032.0,1610112.0,1170176.0,739968.0
76383, [t|h],888064.0,988032.0,643968.0,2520064.0,1632000.0,1532032.0,76383, [i|n],329984.0,550016.0,1270144.0,2150144.0,1820160.0,1600128.0
76383, [t|h],780160.0,940032.0,331904.0,2052096.0,1271936.0,1112064.0,76383, [i|n],560384.0,640384.0,960768.0,2161536.0,1601152.0,1521152.0
76383, [t|h],1095936.0,1099136.0,156416.0,2351488.0,1255552.0,1252352.0,76383, [i|n],914048.0,636032.0,155904.0,1705984.0,791936.0,1069952.0
76383, [t|h],625152.0,937472.0,4107776.0,5670400.0,5045248.0,4732928.0,76383, [i|n],880256.0,559872.0,2482176.0,3922304.0,3042048.0,3362432.0
76383, [t|h],1115648.0,1207168.0,2000640.0,4323456.0,3207808.0,3116288.0,76383, [i|n],710400.0,640512.0,2641920.0,3992832.0,3282432.0,3352320.0
76383, [t|h],1190784.0,940672.0,19968.0,2151424.0,960640.0,1210752.0,76383, [i|n],320000.0,1010048.0,1100032.0,2430080.0,2110080.0,1420032.0
76383, [t|h],667904.0,857984.0,478080.0,2003968.0,1336064.0,1145984.0,76383, [i|n],1591296.0,480384.0,960512.0,3032192.0,1440896.0,2551808.0
76383, [t|h],958976.0,800384.0,959488.0,2718848.0,1759872.0,1918464.0,76383, [i|n],560256.0,1180928.0,1380992.0,3122176.0,2561920.0,1941248.0
76383, [t|h],156032.0,155904.0,1286016.0,1597952.0,1441920.0,1442048.0,76383, [i|n],810112.0,1160064.0,889984.0,2860160.0,2050048.0,1700096.0
76383, [t|h],1120768.0,1040640.0,800640.0,2962048.0,1841280.0,1921408.0,76383, [i|n],1200000.0,870016.0,980096.0,3050112.0,1850112.0,2180096.0
76383, [t|h],1201152.0,550528.0,169728.0,1921408.0,720256.0,1370880.0,76383, [i|n],560896.0,700544.0,1300352.0,2561792.0,2000896.0,1861248.0
76383, [t|h],1280896.0,1040768.0,400256.0,2721920.0,1441024.0,1681152.0,76383, [i|n],430080.0,1069952.0,4360320.0,5860352.0,5430272.0,4790400.0
76383, [t|h],467968.0,570112.0,665984.0,1704064.0,1236096.0,1133952.0,76383, [i|n],156032.0,578048.0,685952.0,1420032.0,1264000.0,841984.0
