ID,A/B,Dwell A,Dwell B,UD(AB),DU(AB),UU(AB),DD(AB),A/B2,Dwell A2,Dwell B2,UD(AB2),DU(AB2),UU(AB2),DD(AB2),A/B3,Dwell A3,Dwell B3,UD(AB3),DU(AB3),UU(AB3),DD(AB3)
76383, [a|c],339968.0,1310080.0,1370112.0,3020160.0,2680192.0,1710080.0, [e|a],721024.0,1271040.0,9472.0,2001536.0,1280512.0,730496.0, [h|e],380032.0,39936.0,620032.0,1040000.0,659968.0,1000064.0
76383, [a|c],1191040.0,960640.0,320000.0,2471680.0,1280640.0,1511040.0, [e|a],156032.0,467968.0,3028096.0,3652096.0,3496064.0,3184128.0, [h|e],968064.0,1374080.0,311936.0,2654080.0,1686016.0,1280000.0
76383, [a|c],1299968.0,740096.0,3090176.0,5130240.0,3830272.0,4390144.0, [e|a],30080.0,320128.0,2530048.0,2880256.0,2850176.0,2560128.0, [h|e],825984.0,1472128.0,467968.0,2766080.0,1940096.0,1293952.0
76383, [a|c],210048.0,220032.0,1080064.0,1510144.0,1300096.0,1290112.0, [e|a],39936.0,330112.0,2630144.0,3000192.0,2960256.0,2670080.0, [h|e],570112.0,29952.0,390016.0,990080.0,419968.0,960128.0
76383, [a|c],40064.0,1378048.0,2240000.0,3658112.0,3618048.0,2280064.0, [e|a],1120128.0,1880064.0,21081216.0,24081408.0,22961280.0,22201344.0, [h|e],720512.0,880640.0,1671168.0,3272320.0,2551808.0,2391680.0
76383, [a|c],1110144.0,1180032.0,1120000.0,3410176.0,2300032.0,2230144.0, [e|a],1300096.0,3780224.0,7030400.0,12110720.0,10810624.0,8330496.0, [h|e],370048.0,40064.0,630016.0,1040128.0,670080.0,1000064.0
76383, [a|c],912128.0,1401984.0,525952.0,2840064.0,1927936.0,1438080.0, [e|a],1070080.0,50048.0,1820032.0,2940160.0,1870080.0,2890112.0, [h|e],339968.0,49920.0,970112.0,1360000.0,1020032.0,1310080.0
76383, [a|c],1260032.0,1080064.0,970112.0,3310208.0,2050176.0,2230144.0, [e|a],359936.0,310016.0,890112.0,1560064.0,1200128.0,1250048.0, [h|e],1101696.0,1104256.0,406528.0,2612480.0,1510784.0,1508224.0
76383, [a|c],1342976.0,1124864.0,3132160.0,5600000.0,4257024.0,4475136.0, [e|a],30080.0,760064.0,930048.0,1720192.0,1690112.0,960128.0, [h|e],890112.0,359936.0,210048.0,1460096.0,569984.0,1100160.0
76383, [a|c],440064.0,1690112.0,4500224.0,6630400.0,6190336.0,4940288.0, [e|a],1280128.0,1070080.0,1430016.0,3780224.0,2500096.0,2710144.0, [h|e],968064.0,1117568.0,699392.0,2785024.0,1816960.0,1667456.0
76383, [a|c],1133952.0,942080.0,2752000.0,4828032.0,3694080.0,3885952.0, [e|a],1500160.0,130048.0,1750016.0,3380224.0,1880064.0,3250176.0, [h|e],1110144.0,1370112.0,249984.0,2730240.0,1620096.0,1360128.0
76383, [a|c],1268480.0,940544.0,1563136.0,3772160.0,2503680.0,2831616.0, [e|a],320256.0,320256.0,640384.0,1280896.0,960640.0,960640.0, [h|e],810112.0,1310080.0,690048.0,2810240.0,2000128.0,1500160.0
76383, [a|c],700032.0,310016.0,1560064.0,2570112.0,1870080.0,2260096.0, [e|a],467968.0,471936.0,694016.0,1633920.0,1165952.0,1161984.0, [h|e],1134080.0,1286016.0,400000.0,2820096.0,1686016.0,1534080.0
76383, [a|c],1560064.0,1910144.0,550016.0,4020224.0,2460160.0,2110080.0, [e|a],1363840.0,1519360.0,162816.0,3046016.0,1682176.0,1526656.0, [h|e],1140096.0,857984.0,496000.0,2494080.0,1353984.0,1636096.0
76383, [a|c],320000.0,1400064.0,1860096.0,3580160.0,3260160.0,2180096.0, [e|a],180096.0,1529984.0,1850112.0,3560192.0,3380096.0,2030208.0, [h|e],1433984.0,624000.0,935936.0,2993920.0,1559936.0,2369920.0
76383, [a|c],1681152.0,1280896.0,2231552.0,5193600.0,3512448.0,3912704.0, [e|a],722048.0,649984.0,1746048.0,3118080.0,2396032.0,2468096.0, [h|e],798464.0,957312.0,488704.0,2244480.0,1446016.0,1287168.0
76383, [a|c],720000.0,1442048.0,1773952.0,3936000.0,3216000.0,2493952.0, [e|a],311936.0,156032.0,1292032.0,1760000.0,1448064.0,1603968.0, [h|e],1276800.0,1277824.0,406144.0,2960768.0,1683968.0,1682944.0
76383, [a|c],1640064.0,1300096.0,700032.0,3640192.0,2000128.0,2340096.0, [e|a],230144.0,240128.0,720512.0,1190784.0,960640.0,950656.0, [h|e],470016.0,39936.0,590080.0,1100032.0,630016.0,1060096.0
